Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,expend,sample
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,0-15,Male,4-13 nights,4327.762,30294.331,2473496.413,3
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,0-15,Female,1-3 nights,1482.093,4446.280,395718.932,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,0-15,Female,4-13 nights,2356.400,17976.891,1885922.404,2
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,16-24,Male,4-13 nights,10278.171,52140.224,8260875.139,6
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,16-24,Female,1-3 nights,5241.563,15724.689,847512.731,3
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,16-24,Female,4-13 nights,3809.190,22245.123,3237262.109,3
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,16-24,Female,14-27 nights,1461.815,20465.412,2192722.696,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,25-34,Male,1-3 nights,6089.183,16383.303,2911105.013,4
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,25-34,Male,4-13 nights,7927.134,36318.329,5236439.183,5
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,25-34,Female,1-3 nights,1473.068,2946.136,147306.821,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,25-34,Female,4-13 nights,3212.836,20199.911,3398321.894,2
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,35-44,Male,1-3 nights,4704.084,12029.474,1766484.795,3
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,35-44,Male,4-13 nights,9495.517,48173.798,9480958.480,7
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,35-44,Female,1-3 nights,1473.068,2946.136,636365.466,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,35-44,Female,4-13 nights,6859.881,48019.170,8857192.557,5
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,45-54,Male,4-13 nights,22207.361,142294.062,43492826.047,13
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,45-54,Female,1-3 nights,830.807,2492.422,1220455.751,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,45-54,Female,4-13 nights,6175.596,37959.997,3644277.747,3
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,55-64,Male,4-13 nights,12699.040,84316.233,14721984.444,10
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,55-64,Male,14-27 nights,1461.815,20465.412,3654537.826,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,55-64,Female,4-13 nights,10818.235,63431.881,9234103.108,8
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,65 & over,Male,4-13 nights,3750.860,26256.022,4330113.321,4
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,65 & over,Female,4-13 nights,596.776,3580.653,149193.895,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,65 & over,Female,14-27 nights,596.776,12532.287,1909681.852,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,D/K,#NULL!,4-13 nights,8952.241,56668.609,9449402.476,5
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,D/K,#NULL!,14-27 nights,2253.006,31542.080,3433580.754,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Independent,D/K,Male,4-13 nights,4533.989,35687.196,4660796.422,3
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,0-15,Male,4-13 nights,874.306,6120.144,1105997.510,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,0-15,Female,4-13 nights,1473.068,8838.409,1937084.693,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,16-24,Male,4-13 nights,1645.605,11519.237,1855145.622,3
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,16-24,Female,4-13 nights,1145.311,6226.848,836222.111,2
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,25-34,Male,4-13 nights,8282.392,54027.470,10225251.019,7
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,25-34,Female,4-13 nights,3935.549,27548.845,4989820.880,6
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,35-44,Male,4-13 nights,1881.852,13172.961,1129442.447,2
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,35-44,Female,1-3 nights,1316.425,3949.274,770108.516,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,35-44,Female,4-13 nights,2680.562,20681.182,2254725.054,2
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,45-54,Male,4-13 nights,17971.370,125799.592,20303802.195,11
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,45-54,Female,4-13 nights,15045.373,99069.272,16771024.947,11
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,55-64,Male,4-13 nights,8898.738,59658.315,11781644.864,11
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,55-64,Female,4-13 nights,10092.278,71979.265,11050458.485,8
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,65 & over,Male,1-3 nights,458.865,917.731,217502.171,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,65 & over,Male,4-13 nights,2947.776,20634.434,3233453.701,4
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,65 & over,Male,14-27 nights,763.315,16029.609,884681.736,1
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,65 & over,Female,4-13 nights,4643.836,31313.301,5320557.705,5
2023,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,D/K,Male,4-13 nights,3794.159,19622.916,3703692.072,2
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,16-24,Male,1-3 nights,2449.522,4899.043,1317842.687,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,35-44,Male,1-3 nights,3741.252,10405.791,721828.082,3
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,35-44,Male,4-13 nights,596.776,4177.429,423710.661,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,45-54,Male,1-3 nights,1473.068,2946.136,736534.104,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,45-54,Male,4-13 nights,2212.533,15487.728,6637597.761,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,45-54,Female,4-13 nights,1316.425,9214.974,2922463.085,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,55-64,Male,1-3 nights,1316.425,2632.850,301461.282,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,D/K,#NULL!,1-3 nights,2024.530,6073.590,1451588.031,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Independent,D/K,Female,1-3 nights,2020.722,4041.444,1087148.369,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Non-Independent,25-34,Male,1-3 nights,1316.425,3949.274,943876.591,1
2023,Jan-Mar,UK residents,Air,Austria,Business,Non-Independent,45-54,Male,1-3 nights,474.586,1423.757,280005.598,1
2023,Jan-Mar,UK residents,Air,Austria,VFR,Independent,16-24,Male,4-13 nights,1473.068,10311.477,0.000,1
2023,Jan-Mar,UK residents,Air,Austria,VFR,Independent,16-24,Female,1-3 nights,4240.175,12720.524,99715.386,2
2023,Jan-Mar,UK residents,Air,Austria,VFR,Independent,25-34,Female,14-27 nights,3050.521,46694.865,3893746.892,2
2023,Jan-Mar,UK residents,Air,Austria,VFR,Independent,35-44,Male,4-13 nights,1461.815,10232.706,1096361.348,1
2023,Jan-Mar,UK residents,Air,Austria,VFR,Independent,45-54,Male,4-13 nights,2898.836,28389.975,3211656.310,2
2023,Jan-Mar,UK residents,Air,Austria,VFR,Independent,45-54,Female,4-13 nights,2904.920,23239.362,290492.022,1
2023,Jan-Mar,UK residents,Air,Austria,VFR,Independent,65 & over,Female,4-13 nights,596.776,4177.429,79371.152,1
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,16-24,Male,1-3 nights,387.904,1163.712,108613.155,1
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,16-24,Female,Nil Stay,2403.205,0.000,240320.509,1
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,16-24,Female,4-13 nights,763.315,3053.259,292349.530,1
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,25-34,Male,Nil Stay,2082.779,0.000,233271.197,1
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,25-34,Male,1-3 nights,882.053,1764.106,264615.947,1
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,25-34,Male,4-13 nights,1482.093,10374.654,326060.544,1
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,25-34,Female,1-3 nights,8203.515,22527.768,2825598.198,3
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,35-44,Male,1-3 nights,5800.310,13235.374,1230599.101,2
2023,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,35-44,Female,4-13 nights,387.904,1551.617,155161.650,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Independent,25-34,Male,1-3 nights,797.515,797.515,196188.683,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Independent,25-34,Male,4-13 nights,425.912,1703.647,271731.731,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Independent,35-44,Male,1-3 nights,1973.916,1973.916,59217.474,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Independent,35-44,Female,1-3 nights,1973.916,3947.832,756009.748,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Independent,45-54,Male,1-3 nights,458.865,917.731,458865.341,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Independent,45-54,Female,Nil Stay,2312.066,0.000,0.000,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Independent,55-64,Male,1-3 nights,474.586,949.172,189834.304,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Independent,55-64,Male,4-13 nights,425.912,1703.647,164827.868,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Non-Independent,45-54,Male,1-3 nights,797.515,1595.030,335753.803,1
2023,Jan-Mar,UK residents,Air,Belgium,Business,Non-Independent,45-54,Female,1-3 nights,1973.916,1973.916,138174.105,1
2023,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,45-54,Male,4-13 nights,1973.916,7895.663,3456326.551,1
2023,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,45-54,Female,1-3 nights,2266.259,4532.518,169969.409,1
2023,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,D/K,Male,4-13 nights,2312.066,11560.328,806910.920,1
2023,Jan-Mar,UK residents,Air,Belgium,VFR,Non-Independent,16-24,Male,4-13 nights,3717.532,14870.127,245357.099,1
